name	taxonomy_id	taxonomic_lineage
Sphingomonadales	204457	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__;f__;g__
Rhodobacterales	204455	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__;f__;g__
Rhodospirillales	204441	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__;f__;g__
Caulobacterales	204458	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__;f__;g__
Candidatus Pelagibacterales	54526	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__;f__;g__
Rickettsiales	766	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__;f__;g__
Holosporales	1921002	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__;f__;g__
Hyphomonadales	2800060	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__;f__;g__
Burkholderiales	80840	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__;f__;g__
Rhodocyclales	206389	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__;f__;g__
Neisseriales	206351	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__;f__;g__
Nitrosomonadales	32003	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__;f__;g__
Acidithiobacillales	225057	d__Bacteria;p__Pseudomonadota;c__Acidithiobacillia;o__;f__;g__
Bacteroidales	171549	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__;f__;g__
Marinilabiliales	1970189	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__;f__;g__
Flavobacteriales	200644	d__Bacteria;p__Bacteroidota;c__Flavobacteriia;o__;f__;g__
Cytophagales	768507	d__Bacteria;p__Bacteroidota;c__Cytophagia;o__;f__;g__
Sphingobacteriales	200666	d__Bacteria;p__Bacteroidota;c__Sphingobacteriia;o__;f__;g__
Chitinophagales	1853229	d__Bacteria;p__Bacteroidota;c__Chitinophagia;o__;f__;g__
Saprospirales	1936988	d__Bacteria;p__Bacteroidota;c__Saprospiria;o__;f__;g__
Chlorobiales	191411	d__Bacteria;p__Chlorobiota;c__Chlorobiia;o__;f__;g__
Ignavibacteriales	795748	d__Bacteria;p__Ignavibacteriota;c__Ignavibacteria;o__;f__;g__
Gemmatimonadales	219686	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__;f__;g__
Verrucomicrobiales	48461	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__;f__;g__
Opitutales	415000	d__Bacteria;p__Verrucomicrobiota;c__Opitutae;o__;f__;g__
Planctomycetales	112	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__;f__;g__
Pirellulales	2691354	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__;f__;g__
Gemmatales	2691355	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__;f__;g__
Isosphaerales	2691356	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__;f__;g__
Phycisphaerales	666506	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__;f__;g__
Fusobacteriales	203491	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__;f__;g__
