name	taxonomy_id	taxonomic_lineage
Candidatus Babeliae	2497643	d__Bacteria;p__;c__;o__;f__;g__
Blastocatellia	1562566	d__Bacteria;p__Acidobacteriota;c__;o__;f__;g__
Holophagae	533205	d__Bacteria;p__Acidobacteriota;c__;o__;f__;g__
Oligoflexia	1553900	d__Bacteria;p__Bdellovibrionota;c__;o__;f__;g__
Dictyoglomia	203486	d__Bacteria;p__Dictyoglomota;c__;o__;f__;g__
Atribacteria	2847774	d__Bacteria;p__Atribacterota;c__;o__;f__;g__
Endomicrobiia	447830	d__Bacteria;p__Elusimicrobiota;c__;o__;f__;g__
Elusimicrobia	641853	d__Bacteria;p__Elusimicrobiota;c__;o__;f__;g__
Chrysiogenetes	118001	d__Bacteria;p__Chrysiogenota;c__;o__;f__;g__
Deltaproteobacteria	28221	d__Bacteria;p__;c__;o__;f__;g__
Calditrichia	1962850	d__Bacteria;p__Calditrichota;c__;o__;f__;g__
Coprothermobacteria	2138243	d__Bacteria;p__Coprothermobacterota;c__;o__;f__;g__







Fimbriimonadia	1663419	d__Bacteria;p__Armatimonadota;c__;o__;f__;g__
Zetaproteobacteria	580370	d__Bacteria;p__Pseudomonadota;c__;o__;f__;g__
Desulfomonilia	3031650	d__Bacteria;p__Thermodesulfobacteriota;c__;o__;f__;g__
Desulfobaccia	3031647	d__Bacteria;p__Thermodesulfobacteriota;c__;o__;f__;g__
Methylacidiphilae	1955630	d__Bacteria;p__Verrucomicrobiota;c__;o__;f__;g__
Ktedonobacteria	388447	d__Bacteria;p__Chloroflexota;c__;o__;f__;g__
Desulfurellia	3031853	d__Bacteria;p__Campylobacterota;c__;o__;f__;g__
Candidatus Desulfofervidia	3031450	d__Bacteria;p__Thermodesulfobacteriota;c__;o__;f__;g__




Hydrogenophilia	2008785	d__Bacteria;p__Pseudomonadota;c__;o__;f__;g__

Caldisericia	693071	d__Bacteria;p__Caldisericota;c__;o__;f__;g__





Spartobacteria	134549	d__Bacteria;p__Verrucomicrobiota;c__;o__;f__;g__

















