SampleID	Shannon	Richness	Evenness	Simpson
L1	5.169470507502648	261	0.9290055798339467	0.9926206965727651
L2	5.171611675747041	261	0.9293903691936146	0.9926427091516319
L3	5.168566876911237	261	0.9288431883742583	0.9926069173582929
L4	5.169525932064791	261	0.9290155401823839	0.9926271968033895
L5	5.169498476986274	261	0.9290106062300382	0.9926206677359475
L6	5.1704379488101315	261	0.9291794387178516	0.992631056662865
L7	5.1699506760303295	261	0.9290918709233008	0.9926304583048225
L8	5.169309859192079	261	0.9289767097249688	0.9926182499034434
L9	5.170475434883652	261	0.9291861753403773	0.9926349901237993
L10	5.1693906892212675	261	0.9289912356900604	0.9926186720381962
MG1	5.170293491867978	261	0.9291534783598011	0.9926312042221915
MG2	5.169640642521101	261	0.9290361547992624	0.9926289434899472
MG3	5.169797133158926	261	0.9290642777328434	0.9926231129545904
MG4	5.169176566580648	261	0.9289527557088679	0.9926124681851407
MG5	5.1695038155434645	261	0.9290115656221868	0.9926159495871061
MG6	5.169143112351203	261	0.9289467436490683	0.9926127150589876
MG7	5.170264404189473	261	0.9291482510129004	0.9926349014986986
MG8	5.169688543189322	261	0.9290447630286721	0.9926292909145189
MG9	5.168940879439686	261	0.9289104003711729	0.992619166588057
MG10	5.169377430895431	261	0.9289888530362348	0.9926189355626417
MG11	5.169765838751911	261	0.9290586538147474	0.9926270502069022
MG12	5.169915787082566	261	0.9290856010302625	0.9926267035905038
MG13	5.170244616035146	261	0.9291446948835526	0.9926305199157588
MG14	5.170367904572685	261	0.9291668510674668	0.992627842145638
MG15	5.169879126019806	261	0.9290790126704261	0.9926208059338266
MG16	5.170227250698301	261	0.9291415741587509	0.9926263537553053
MG17	5.169679364972249	261	0.9290431136112199	0.9926260805371037
MG18	5.170184112225631	261	0.9291338217435359	0.9926271939755805
MG19	5.171038709445872	261	0.9292874014157599	0.9926393404432216
MG20	5.17038293710606	261	0.9291695525641412	0.9926317041838567
MG21	5.16950071159221	261	0.9290110078110859	0.9926255134385594
MG22	5.170341221687554	261	0.9291620558859996	0.9926320758246393
MG23	5.170711776882778	261	0.9292286483626373	0.9926332343408717
MG24	5.170417326585927	261	0.9291757326978004	0.9926342301394668
MG25	5.170185072943523	261	0.9291339943941547	0.9926318852366118
MG26	5.1698922180595295	261	0.9290813654409733	0.9926272351885815
MG27	5.170787785044804	261	0.9292423077899485	0.9926374087369995
MG28	5.169936339200569	261	0.9290892944515277	0.992626308963557
MG29	5.169983118378759	261	0.9290977011379562	0.9926262531871586
MG30	5.169562915572701	261	0.9290221864888403	0.9926173256222941
MG31	5.170044602319596	261	0.9291087504173795	0.9926271802341233
MG32	5.17000583643466	261	0.9291017837999358	0.9926299406928832
MG33	5.169630452605744	261	0.9290343235695048	0.9926282692085778
MG34	5.169211422958996	261	0.9289590197488562	0.9926184286253034
MG35	5.16928425249775	261	0.9289721079457579	0.9926234676218539
MG36	5.1705799166134065	261	0.9292049517527374	0.9926338701384068
MG37	5.1699603434311925	261	0.9290936082519753	0.9926244365569717
MG38	5.170356841707477	261	0.9291648629598855	0.9926251485197995
MG39	5.169295288716646	261	0.9289740912647303	0.992618249726277
MG40	5.169633445595039	261	0.9290348614396312	0.9926283030028761
MG41	5.170360412192531	261	0.9291655046117787	0.9926312497945926
MG42	5.169823703410789	261	0.9290690526729852	0.9926209296428823
MG43	5.1704103465276905	261	0.9291744783114876	0.9926333182787636
MG44	5.1707241004910305	261	0.9292308630383596	0.9926338278019426
MG45	5.170610584305197	261	0.9292104630438364	0.9926330470214972
MG46	5.170252890988659	261	0.9291461819755044	0.9926356373256433
MG47	5.169873136366347	261	0.9290779362697625	0.9926255813209253
MG48	5.170611446828388	261	0.9292106180478847	0.9926333210752828
MG49	5.170231210844847	261	0.9291422858367133	0.9926298906779232
MG50	5.169121167480934	261	0.9289427999362838	0.992617547036035
MG51	5.170117987367003	261	0.9291219384447449	0.9926242105347547
MG52	5.169644801799648	261	0.9290369022632382	0.9926217225195866
MG53	5.169335063460841	261	0.9289812391842783	0.9926261659318196
MG54	5.169354194729676	261	0.9289846772647299	0.9926147056017557
MG55	5.1691856856712946	261	0.9289543945007095	0.992616664062175
MG56	5.16897332008851	261	0.9289162302803923	0.9926158672661425
MG57	5.169829448123405	261	0.9290700850553283	0.9926315915286772
MG58	5.169723753312308	261	0.9290510906401118	0.9926257915240703
MG59	5.170442089336118	261	0.9291801828118046	0.992633500215312
MG60	5.169805830285456	261	0.9290658406935108	0.9926239577865964
MG61	5.169461116640679	261	0.9290038922020788	0.9926237027040238
MG62	5.169914581302757	261	0.929085384339565	0.9926280322759569
MG63	5.170055145410498	261	0.9291106451163169	0.9926356408935445
MG64	5.16997926491376	261	0.9290970086317353	0.9926285499022257
MG65	5.169837387268964	261	0.9290715117992303	0.992625860371999
MG66	5.168717599569104	261	0.9288702747441219	0.9926104229999969
MG67	5.169743517419803	261	0.9290546424480034	0.9926155544421559
MG68	5.169870697386934	261	0.9290774979607559	0.99263178261593
MG69	5.169203157640152	261	0.9289575343883509	0.9926215876979757
MG70	5.169820435010042	261	0.9290684653086649	0.9926240290583372
MG71	5.169978232309667	261	0.9290968230624468	0.992630845229866
MG72	5.169518592027806	261	0.9290142211042878	0.9926270960723061
MG73	5.1699258355356115	261	0.9290874068378272	0.9926260583383687
MG74	5.169569330735461	261	0.9290233393577833	0.9926278333439434
MG75	5.17026318519901	261	0.9291480319481161	0.9926323364738614
MG76	5.169972947123209	261	0.9290958732615526	0.9926287951522437
MG77	5.16976797470291	261	0.9290590376665157	0.9926225663522912
MG78	5.169602539215734	261	0.9290293072539975	0.9926232110038199
MG79	5.170335456227211	261	0.9291610197750825	0.9926387689529472
MG80	5.170742759684771	261	0.9292342162821927	0.9926341431790965
MG81	5.169773231671767	261	0.9290599823964246	0.992626248352658
MG82	5.170051090907937	261	0.9291099164816342	0.9926247032946091
MG83	5.168910487454459	261	0.9289049386273025	0.9926142948638553
MG84	5.1703800543783025	261	0.9291690345091164	0.9926285553243456
MG85	5.169809946376496	261	0.9290665803962596	0.9926283410488058
