"predictor","betas","ci_lo","ci_hi","p_val","n","name","FDR","Beta_IQR","SE_IQR","CI_lo_IQR","CI_hi_IQR","Category"
"PFHxS",0.467544326855505,-0.153006937611567,1.08809559132258,0.134687925450364,40,"COLANSYN-PWY colanic acid building blocks biosynthesis",0.658072824582933,0.464435946494161,0.314502880770882,NA,NA,"Cell Wall"
"PFNA",0.164556678788609,-0.235170588198328,0.564283945775545,0.407942717621463,40,"COLANSYN-PWY colanic acid building blocks biosynthesis",0.669921110973519,0.254785650064844,0.315767299932222,NA,NA,"Cell Wall"
"PFOA",0.0764744115920684,-0.437135440895453,0.59008426407959,0.763631171147534,40,"COLANSYN-PWY colanic acid building blocks biosynthesis",0.763631171147534,0.0656897131878085,0.225091189553761,NA,NA,"Cell Wall"
"PFOS",0.295183002269947,-0.307104583310182,0.897470587850076,0.325619924565488,40,"COLANSYN-PWY colanic acid building blocks biosynthesis",0.867034562725944,0.264928213894265,0.275793931691422,NA,NA,"Cell Wall"
"PFBS",0.0969400116208954,-0.343510401876888,0.537390425118679,0.656947101626135,40,"RHAMCAT-PWY L-rhamnose degradation I",0.758015886491695,0.0962596673388308,0.223142471884782,NA,NA,"Carbohydrates"
"PFHxS",-0.250768740725874,-0.867050147360555,0.365512665908807,0.413334286031617,40,"RHAMCAT-PWY L-rhamnose degradation I",0.898020991721633,-0.249101552003569,0.312338865216224,NA,NA,"Carbohydrates"
"PFNA",0.188480520444474,-0.197040583171975,0.574001624060924,0.32679287579604,40,"RHAMCAT-PWY L-rhamnose degradation I",0.669921110973519,0.291827303999586,0.304545043608034,NA,NA,"Carbohydrates"
"PFOA",-0.373141917790957,-0.852935088005726,0.106651252423811,0.122993488687614,40,"RHAMCAT-PWY L-rhamnose degradation I",0.461225582578553,-0.320520093554784,0.210270918480942,NA,NA,"Carbohydrates"
"PFOS",-0.192209715832348,-0.780608498317766,0.396189066653069,0.510564972677101,40,"RHAMCAT-PWY L-rhamnose degradation I",0.867034562725944,-0.172509176737826,0.26943410010318,NA,NA,"Carbohydrates"
"Mixture",-0.314142696284334,-1.5260138022609,0.897728409692235,0.615534205582966,40,"PWY-6737 starch degradation V",0.893973173898091,-0.482777389757442,NA,-2.01753134099575,1.05197656148087,"Carbohydrates"
"Mixture",-0.47015079791895,-1.6672856615393,0.726984065701399,0.448138524576736,40,"PWY-7111 pyruvate fermentation to isobutanol",0.893973173898091,-1.27789866326006,NA,-2.55330596122982,-0.00249136529030203,"SCFAs"
"Mixture",-0.46334551007441,-1.81589699026767,0.889205970118847,0.507652463299362,40,"COA-PWY coenzyme A biosynthesis I",0.893973173898091,-0.483092558217334,NA,-2.24345688275433,1.27727176631966,"Vitamins & Cofactors"
"Mixture",0.110201127343325,-0.787686835268333,1.00808908995498,0.811718261096126,40,"PWY-5484 glycolysis II",0.893973173898091,0.0194364074913634,NA,-1.20686726046239,1.24574007544512,"Carbohydrates"
"Mixture",0.673483732240471,-0.260695979765454,1.6076634442464,0.169078221381382,40,"PWY-6588 pyruvate fermentation to acetone",0.845391106906912,0.479711462970078,NA,-0.995942545687608,1.95536547162776,"SCFAs"
